id,name,tamil,category,type,price_rs,mrp_rs,wholesale_rs,unit,pack,in_stock
1407,AJAY BABY 12RS SAR,அசூய் பிரஷ் 12₹ சரம்,Baby Care,baby,102.0,144.0,102.0,Strip,,Yes
1220,HIM .BABY POW 50G,,Baby Care,baby,55.0,60.0,50.0,50 g,,Yes
1219,HIM BABY POW 100G,,Baby Care,baby,85.0,95.0,82.0,100 g,,Yes
1214,HIM.BABY SOAP,,Baby Care,soap,60.0,62.0,54.0,1 unit,,Yes
2115,HIMALAYA BABY SHAMPOO,,Baby Care,shampoo,100.0,115.0,98.0,1 unit,,Yes
1566,HUGGIES MEDIUM,,Baby Care,baby,165.0,192.0,160.0,1 unit,,Yes
1567,HUGGIES SMALL,,Baby Care,baby,135.0,160.0,134.0,1 unit,,Yes
1569,HUGGIES XL,,Baby Care,baby,250.0,,245.0,1 unit,,Yes
1540,JOHNSON BABY 20RS,,Baby Care,baby,18.0,20.0,17.5,1 unit,,Yes
2258,NAN,,Baby Care,baby,0.0,,,1 unit,,Yes
1441,PAMPERS LARGE CASE [18],பாம்பர்ஸ் பெரியது பெட்ழ(18),Baby Care,baby,4720.0,,4710.0,Case,18,Yes
1341,PAMPERS LARGE SAR[8],பாம்பர்ஸ் பெரியது சரம்(8),Baby Care,baby,210.0,224.0,202.0,Strip,8,Yes
1151,PAMPERS MEDIUM CASE[144],பாம்பர்ஸ் மீழயம் பெடழ(144),Baby Care,baby,3720.0,,3700.0,Case,144,Yes
1340,PAMPERS MEDIUM SAR[8],பாம்பர்ஸ் மீழயம்; சரம்(8),Baby Care,baby,165.0,200.0,160.0,Strip,8,Yes
1339,PAMPERS NEW BORN SAR,பாம்பர்ஸ் நியூபார்ன் சரம்,Baby Care,baby,125.0,144.0,123.0,Strip,,Yes
1150,PAMPERS SMALL CASE[192],பாம்பர்ஸ் சிறியது பெடழ(192),Baby Care,baby,3000.0,,2980.0,Case,192,Yes
1163,PAMPERS SMALL SAR [8],பாம்பர்ஸ் சிறிய சரம்(8),Baby Care,baby,130.0,160.0,135.0,Strip,8,Yes
1342,PAMPERS XL SAR[8],பாம்பர்ஸ் எக்ஸ்எல் சரம்(8),Baby Care,baby,250.0,280.0,250.0,Strip,8,Yes
780,3ROSES 100G,3ரொசஸ் 100கி,Beverages,tea,87.0,90.0,85.0,100 g,,Yes
779,3ROSES 100G CASE[120],3ரொசஸ் 100கி பெட்ழ(20),Beverages,tea,9750.0,10800.0,9750.0,100 g,120,Yes
770,3ROSES 10RS BAG(17),3ரொசஸ் 10₹ பை(17),Beverages,tea,3430.0,4080.0,3430.0,Bag,17,Yes
771,3ROSES 10RS KATTU,3ரொசஸ் 10₹ கட்டு,Beverages,tea,212.0,240.0,210.0,Bundle,,Yes
772,3ROSES 10RS SARAM,3ரொசஸ் 10₹ சரம்,Beverages,tea,72.0,80.0,70.0,Strip,,Yes
781,3ROSES 250G,3ரொசஸ் 250கி,Beverages,tea,212.0,220.0,210.0,250 g,,Yes
776,3ROSES 25G,3ரொசஸ் 25கி,Beverages,tea,20.0,25.0,18.5,25 g,,Yes
775,3ROSES 25G KATTU[40],3ரொசஸ் 25கி கட்டு(40),Beverages,tea,880.0,1000.0,875.0,25 g,40,Yes
765,3ROSES 2RS BAG(200),3ரொசஸ் 2₹ பை(200),Beverages,tea,3400.0,4000.0,3400.0,Bag,200,Yes
2173,3ROSES 2RS KATTU[5],3ரொசஸ் 2₹ (5),Beverages,tea,180.0,500.0,175.0,Bundle,5,Yes
766,3ROSES 2RS SARAM,3ரொசஸ் 2₹ சரம்,Beverages,tea,36.0,,35.0,Strip,,Yes
783,3ROSES 500G,3ரொசஸ் 500கி,Beverages,tea,350.0,,345.0,500 g,,Yes
782,3ROSES 500G KATTU[2],3ரொசஸ் 500கி கட்டு(2),Beverages,tea,600.0,680.0,600.0,500 g,2,No
778,3ROSES 50G,3ரொசஸ் 50கி,Beverages,tea,40.0,45.0,40.0,50 g,,Yes
777,3ROSES 50G KATTU[20],3ரொசஸ் 50கி கட்டு(20),Beverages,tea,820.0,900.0,810.0,50 g,20,Yes
767,3ROSES 5RS BAG(50),3ரொசஸ் 5₹ பை,Beverages,tea,4850.0,6000.0,4800.0,Bag,50,Yes
768,3ROSES 5RS KATTU,3ரொசஸ் 5₹ கட்டு,Beverages,tea,105.0,120.0,105.0,Bundle,,Yes
769,3ROSES 5RS SARAM,3ரொசஸ் 5₹ சரம்,Beverages,tea,54.0,60.0,52.0,Strip,,Yes
2250,7UP 20RS,,Beverages,soda,20.0,,18.0,1 unit,,Yes
2280,7UP 2LTR,,Beverages,soda,90.0,100.0,85.0,2 L,,Yes
269,7UP 40RS,7அப் 40₹,Beverages,soda,35.0,40.0,34.0,1 unit,,Yes
268,7UP 40RS[24],7அப் 50₹(24),Beverages,soda,780.0,840.0,780.0,1 unit,24,Yes
